"57;""technician"";""married"";""unknown"";""no"";206;""yes"";""no"";""unknown"";5;""may"";216;3;-1;0;""unknown"";""no"""
"57;""housemaid"";""married"";""primary"";""no"";7082;""no"";""no"";""unknown"";6;""jun"";69;3;-1;0;""unknown"";""no"""
"51;""unemployed"";""married"";""tertiary"";""no"";1634;""yes"";""no"";""cellular"";22;""jul"";168;4;-1;0;""unknown"";""no"""
"34;""admin."";""single"";""secondary"";""no"";1;""yes"";""no"";""cellular"";22;""jul"";483;7;-1;0;""unknown"";""no"""
"50;""self-employed"";""married"";""tertiary"";""no"";4012;""no"";""no"";""cellular"";19;""nov"";690;3;-1;0;""unknown"";""no"""
"44;""management"";""married"";""tertiary"";""no"";3762;""no"";""no"";""cellular"";28;""aug"";125;12;-1;0;""unknown"";""no"""
"27;""admin."";""married"";""secondary"";""no"";-247;""yes"";""yes"";""unknown"";4;""jun"";344;2;-1;0;""unknown"";""no"""
"50;""blue-collar"";""married"";""secondary"";""no"";606;""yes"";""no"";""unknown"";14;""may"";673;2;-1;0;""unknown"";""no"""
"36;""management"";""married"";""tertiary"";""no"";0;""yes"";""no"";""cellular"";28;""jan"";60;1;250;1;""other"";""no"""
"42;""management"";""married"";""secondary"";""no"";-189;""yes"";""no"";""unknown"";12;""may"";247;2;-1;0;""unknown"";""no"""
"32;""unemployed"";""single"";""secondary"";""no"";0;""no"";""no"";""cellular"";27;""may"";123;2;-1;0;""unknown"";""no"""
"42;""management"";""married"";""tertiary"";""no"";484;""yes"";""no"";""cellular"";11;""jul"";144;2;-1;0;""unknown"";""no"""
"43;""technician"";""married"";""secondary"";""no"";0;""no"";""yes"";""cellular"";8;""may"";9;2;172;5;""failure"";""no"""
"31;""management"";""married"";""tertiary"";""no"";395;""yes"";""no"";""cellular"";9;""feb"";155;3;-1;0;""unknown"";""no"""
"32;""management"";""married"";""tertiary"";""no"";2349;""no"";""no"";""cellular"";14;""aug"";134;5;-1;0;""unknown"";""no"""
"55;""blue-collar"";""divorced"";""primary"";""no"";410;""no"";""yes"";""cellular"";11;""jul"";221;2;-1;0;""unknown"";""no"""
"58;""retired"";""married"";""primary"";""no"";3401;""yes"";""no"";""cellular"";3;""feb"";84;3;265;2;""failure"";""no"""
"46;""blue-collar"";""married"";""primary"";""no"";222;""no"";""no"";""cellular"";8;""aug"";71;2;-1;0;""unknown"";""no"""
"55;""blue-collar"";""married"";""secondary"";""no"";989;""yes"";""yes"";""unknown"";23;""may"";246;4;-1;0;""unknown"";""no"""
"34;""management"";""married"";""tertiary"";""no"";415;""no"";""yes"";""cellular"";23;""jul"";361;2;-1;0;""unknown"";""no"""
"28;""unemployed"";""single"";""secondary"";""no"";16;""no"";""no"";""cellular"";12;""aug"";119;4;-1;0;""unknown"";""no"""
"42;""technician"";""divorced"";""tertiary"";""no"";7190;""yes"";""no"";""cellular"";29;""jul"";375;2;-1;0;""unknown"";""no"""
"29;""blue-collar"";""single"";""secondary"";""no"";482;""no"";""yes"";""cellular"";10;""jul"";1097;3;-1;0;""unknown"";""yes"""
"54;""housemaid"";""married"";""secondary"";""no"";209;""yes"";""yes"";""cellular"";25;""jul"";97;1;-1;0;""unknown"";""no"""
